"Symbol","ShortName","ListedDate","InstitutionID","CoFullName","IndustryCode","IndustryName","FirstSTDate","FirstSTReason","SurvivalTimeofFirstST"
"688100","威胜信息","2020-01-21","10446557","威胜信息技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688101","三达膜","2019-11-15","10119247","三达膜环境技术股份有限公司","C35","专用设备制造业","","",""
"688102","斯瑞新材","2022-03-16","10522964","陕西斯瑞新材料股份有限公司","C32","有色金属冶炼及压延加工业","","",""
"688103","国力股份","2021-09-10","10408150","昆山国力电子科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688105","诺唯赞","2021-11-15","10522989","南京诺唯赞生物科技股份有限公司","M73","研究和试验发展","","",""
"688106","金宏气体","2020-06-16","10102713","金宏气体股份有限公司","C26","化学原料及化学制品制造业","","",""
"688107","安路科技","2021-11-12","10442238","上海安路信息科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688108","赛诺医疗","2019-10-30","10428043","赛诺医疗科学技术股份有限公司","C35","专用设备制造业","","",""
"688109","品茗科技","2021-03-30","10369686","品茗科技股份有限公司","I65","软件和信息技术服务业","","",""
"688110","东芯股份","2021-12-10","10425182","东芯半导体股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688111","金山办公","2019-11-18","10406869","北京金山办公软件股份有限公司","I65","软件和信息技术服务业","","",""
"688112","鼎阳科技","2021-12-01","10523822","深圳市鼎阳科技股份有限公司","C40","仪器仪表制造业","","",""
"688113","联测科技","2021-05-06","10470650","江苏联测机电科技股份有限公司","C35","专用设备制造业","","",""
"688114","华大智造","2022-09-09","10453956","深圳华大智造科技股份有限公司","C35","专用设备制造业","","",""
"688115","思林杰","2022-03-14","10547028","广州思林杰科技股份有限公司","C40","仪器仪表制造业","","",""
"688116","天奈科技","2019-09-25","10442678","江苏天奈科技股份有限公司","C26","化学原料及化学制品制造业","","",""
"688117","圣诺生物","2021-06-03","10133278","成都圣诺生物科技股份有限公司","C27","医药制造业","","",""
"688118","普元信息","2019-12-04","10186774","普元信息技术股份有限公司","I65","软件和信息技术服务业","","",""
"688119","中钢洛耐","2022-06-06","10523154","中钢洛耐科技股份有限公司","C30","非金属矿物制品业","","",""
"688120","华海清科","2022-06-08","10501666","华海清科股份有限公司","C35","专用设备制造业","","",""
"688121","卓然股份","2021-09-06","10295131","上海卓然工程技术股份有限公司","C35","专用设备制造业","","",""
"688122","西部超导","2019-07-22","105390","西部超导材料科技股份有限公司","C32","有色金属冶炼及压延加工业","","",""
"688123","聚辰股份","2019-12-23","10445860","聚辰半导体股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
